date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:43	101/101	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20May%202024%2001:18:43%20GMT	https://jacobchilds.info/img/flags_matrix.png	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/img/flags_matrix.png	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/fontawesome-webfont3e6e.eot	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:44	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/fontawesome-webfontd41d.eot	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:44	77160/77160	---M--	200	added ('OK')	font/woff2	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/fontawesome-webfont3e6e.woff2	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:44	98024/98024	---M--	200	added ('OK')	font/woff	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/fontawesome-webfont3e6e.woff	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:45	165548/165548	---M--	200	added ('OK')	font/ttf	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/fontawesome-webfont3e6e.ttf	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:45	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/fontawesome-webfont.svg?v=4.7.0	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/fontawesome-webfont3e6e.svg	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:45	47932/47932	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/builder-ui-icons-plugins.eot?b4p9x3	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/builder-ui-icons-plugins4071.eot	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:45	47768/47768	---M--	200	added ('OK')	font/ttf	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/builder-ui-icons-plugins.ttf?b4p9x3	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/builder-ui-icons-plugins4071.ttf	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:45	47844/47844	---M--	200	added ('OK')	font/woff	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/builder-ui-icons-plugins.woff?b4p9x3	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/builder-ui-icons-plugins4071.woff	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
20:18:46	176533/176533	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2028%20May%202024%2001:01:02%20GMT	https://jacobchilds.info/css/fonts/builder-ui-icons-plugins.svg?b4p9x3	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/fonts/builder-ui-icons-plugins4071.svg	(from https://jacobchilds.info/css/common-bundle.css?ts=20240529032007)
